location,collected by,date,gps,cover,height,common,spp_code,spp,notes
Schoodic,finn,8/12/2023,sch1155,100,3,unknown,gal bif,Galeopsis bifida,"big patch of #7 nearby, growth form similar to hobblebush (#7 = Ribes glandulosum, FO 4/7/24)"
Schoodic,finn,8/12/2023,sch1146,100,3,red raspberry,rub ida,Rubus idaeus,
Schoodic,finn,8/12/2023,sch1146,100,3,cinnamon fern,osm cin,Osmundastrum cinnamomeum,
Schoodic,finn,8/12/2023,sch1146,100,3,dock sp.,rum sp,Rumex sp.,
Schoodic,finn,8/12/2023,sch1146,100,3,fringed willowherb,epi cil,Epilobium ciliatum,
Schoodic,finn,8/12/2023,sch1146,100,3,sheep sorrel,rum ace,Rumex acetosella,"bare earth directly S of plot - ""lawn""? Very fine black powdery soil with guano, crustacean remains, and bone fragments"
Schoodic,finn,8/12/2023,sch1120,100,5,red raspberry,rub ida,Rubus idaeus,
Schoodic,finn,8/12/2023,sch1039,100,4,spotted jewelweed,imp cap,Impatiens capensis,
Schoodic,finn,8/12/2023,sch1039,100,4,stinging nettle,urt dio,Urtica dioica,
Schoodic,finn,8/12/2023,sch1039,100,4,unknown,rap rap,Raphanus raphanistrum,
Schoodic,finn,8/12/2023,sch1297,100,3,red raspberry,rub ida,Rubus idaeus,
Schoodic,finn,8/12/2023,sch1297,100,3,white meadowsweet,spi alb,Spiraea alba,
Schoodic,finn,8/12/2023,sch1314,100,3,fringed willowherb,epi cil,Epilobium ciliatum,
Schoodic,finn,8/12/2023,sch1314,100,3,red raspberry,rub ida,Rubus idaeus,
Schoodic,finn,8/12/2023,sch1314,100,3,wrinkleleaf goldenrod,sol rug,Solidago rugosa,
Schoodic,finn,8/12/2023,sch935,100,3,wrinkleleaf goldenrod,sol rug,Solidago rugosa,1/2 of plot at height class 1 (not bare)
Schoodic,finn,8/12/2023,sch935,100,3,red raspberry,rub ida,Rubus idaeus,
Schoodic,finn,8/12/2023,sch935,100,3,unknown,gal bif,Galeopsis bifida,
Schoodic,finn,8/12/2023,sch935,100,3,bull thistle,cir vul,Cirsium vulgare,
Schoodic,finn,8/12/2023,sch935,100,3,kentucky bluegrass,poa pra,Poa pratensis,
Schoodic,finn,8/12/2023,sch935,100,3,fringed willowherb,epi cil,Epilobium ciliatum,
Schoodic,finn,8/12/2023,sch1122,100,3,wrinkleleaf goldenrod,sol rug,Solidago rugosa,
Schoodic,finn,8/12/2023,sch1122,100,3,seaside goldenrod,sol sem,Solidago sempervirens,
Schoodic,finn,8/12/2023,sch1122,100,3,new england aster,sym nov,Symphyotrichum novae-angliae,
Schoodic,finn,8/12/2023,sch1122,100,3,strawberry,fra vir,Fragaria virginiana,
Schoodic,finn,8/12/2023,sch1122,100,3,unknown,lyc uni,Lycopus uniflorus,
Schoodic,finn,8/12/2023,sch1122,100,3,kentucky bluegrass,poa pra,Poa pratensis,
Schoodic,finn,8/12/2023,sch1122,100,3,rough bentgrass,agr sca,Agrostis scabra,
